,Precipitacion_mm,Temp_Max_C,Temp_Min_C,Temp_Media_C,Humedad_Relativa,Velocidad_Viento,Radiacion_Solar,Anio,Mes,ONI,VolumenUtilDiarioMasa,irca,POBLACION TOTAL,DENSIDAD POBLACIONAL,INDICE DE DESEMPENO INSTITUCIONAL,ACCESO A AGUA POTABLE ADECUADO,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ACUEDUCTO RURAL,COBERTURA DE ALCANTARILLADO URBANO,COBERTURA DE ALCANTARILLADO RURAL,CONTINUIDAD DE ACUEDUCTO URBANO,CALIDAD DEL AGUA,AGUAS RESIDUALES TRATADAS,Nivel_Minimo,CONDUCTIVIDAD ELECTRICA,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),DEMANDA QUIMICA DE OXIGENO (DQO),FOSFORO TOTAL,NITROGENO TOTAL,OXIGENO DISUELTO (OD),SOLIDOS SUSPENDIDOS TOTALES,TEMPERATURA,TURBIDEZ,pH
Precipitacion_mm,1.0,-0.2820186709293169,0.10549513441168241,-0.10130671956959698,0.5674624005718127,-0.10258977305177495,-0.424983687244536,0.06866410609952918,0.07127110478576469,-0.03855133467318509,0.13636143581584856,0.11014159751060132,,0.06527344244900998,0.10122409360522729,0.06527344244900998,0.06527344244900998,0.06527344244900998,0.06527344244900998,0.06527344244900998,0.06527344244900998,,0.07240075620425043,0.1953477853963362,-0.07992761053151042,-0.3794558619967454,-0.021455951077568456,-0.10846766064048577,-0.3655929498101121,-0.36886093571714523,0.16113045368517584,-0.24152727400009172,-0.09301184577929325,0.03011242743808459,-0.14235641126881443
Temp_Max_C,-0.2820186709293169,1.0,0.7628590961163014,0.9413415958248187,-0.7636722500185221,-0.09954136955647813,0.4234305561668253,0.020072072571254602,-0.13582942924057997,0.07572001857998817,-0.08431672051741639,-0.07950600098085515,,-0.10994279429287605,-0.0181756077518956,-0.10994279429287605,-0.10994279429287605,-0.10994279429287605,-0.10994279429287605,-0.10994279429287605,-0.10994279429287605,,0.009434772037401883,0.4517014071659752,0.26009675687083067,0.6754409107655281,-0.28708489542854404,0.39514565718704003,0.6593333340934094,0.6773555802449812,-0.8452082831174603,0.3003575509374064,0.8120301126283962,0.2915271996487829,-0.10883080969910734
Temp_Min_C,0.10549513441168241,0.7628590961163014,1.0,0.8997748396828731,-0.27436943033339906,-0.2478781586711235,0.1910191235158148,0.03956378221170877,-0.009995917219118813,0.02686422214390575,0.03667409509603231,0.020842803105869265,,-0.037117449937592376,0.10680196313697461,-0.037117449937592376,-0.037117449937592376,-0.037117449937592376,-0.037117449937592376,-0.037117449937592376,-0.037117449937592376,,0.007097573680432634,0.6579877652609201,0.12328973861871034,0.2672309711917507,-0.29822791960544387,0.12254006007232042,0.30836255475324914,0.27360806638951196,-0.6220767992510715,0.2903348421876958,0.7131558014089412,0.3890693718388068,-0.30317948856566224
Temp_Media_C,-0.10130671956959698,0.9413415958248187,0.8997748396828731,1.0,-0.5679169476707837,-0.1621828353382299,0.3674625890144806,0.04278779387334351,-0.05541095632528439,0.07270732474520589,-0.02198695503487283,-0.02448452289766701,,-0.06649997879521374,0.03272189098643361,-0.06649997879521374,-0.06649997879521374,-0.06649997879521374,-0.06649997879521374,-0.06649997879521374,-0.06649997879521374,,0.004307538302359683,0.5974798721911426,0.221975535599313,0.5182849002934562,-0.31801212077512186,0.2807215190514399,0.5358548926137648,0.536174430880981,-0.7962425704800324,0.3509220132520638,0.7812578101959871,0.39649806293929757,-0.23868304603061988
Humedad_Relativa,0.5674624005718127,-0.7636722500185221,-0.27436943033339906,-0.5679169476707837,1.0,-0.14499949591095768,-0.4382246966846543,0.06234290888318597,0.1758569459675225,-0.06900551928004676,0.15806942566954807,0.1462457652489939,,0.1027990213387199,0.19752763247983757,0.1027990213387199,0.1027990213387199,0.1027990213387199,0.1027990213387199,0.1027990213387199,0.1027990213387199,,0.04102560935223377,0.02461912726315194,-0.3504404032196338,-0.7857005887589088,-0.11449620709207939,-0.5286654022125911,-0.7251110640826779,-0.7515621641211647,0.6388817929819669,-0.2147396005083426,-0.4592549160838103,-0.008563828345846493,-0.2031628183847655
Velocidad_Viento,-0.10258977305177495,-0.09954136955647813,-0.2478781586711235,-0.1621828353382299,-0.14499949591095768,1.0,-0.20212897641485128,0.03048009042110103,-0.09066611260102497,0.16704216970756178,0.058232588307249346,0.0620151726850936,,-0.034265120472465015,0.4829265677792562,-0.034265120472465015,-0.034265120472465015,-0.034265120472465015,-0.034265120472465015,-0.034265120472465015,-0.034265120472465015,,0.4064636277784563,0.08606843164547551,0.22582883377389704,-0.036985257078815115,-0.03327154804619573,-0.0785946131058827,-0.042809007208699366,-0.025368947151950476,0.08313582334585631,0.03133056249497559,-0.18649792690309433,0.02666544314685128,-0.08123228339736832
Radiacion_Solar,-0.424983687244536,0.4234305561668253,0.1910191235158148,0.3674625890144806,-0.4382246966846543,-0.20212897641485128,1.0,0.007682981987283726,0.01564137266260115,0.08737009277710962,-0.10333447226642918,-0.0747659461470835,,-0.053082683571661474,-0.2085481362621982,-0.053082683571661474,-0.053082683571661474,-0.053082683571661474,-0.053082683571661474,-0.053082683571661474,-0.053082683571661474,,-0.22530700043504343,0.05661143453254646,0.0912123194292248,0.1396577521771733,-0.42687760174489636,-0.08850673278978746,0.05761111201494773,0.2843707277144987,-0.20954481954003765,0.09522497073246504,0.35518822596211336,0.14774168966717713,-0.2158522178000301
Anio,0.06866410609952918,0.020072072571254602,0.03956378221170877,0.04278779387334351,0.06234290888318597,0.03048009042110103,0.007682981987283726,1.0,-1.828184559187396e-15,-0.2775895191376329,0.47673129462278785,0.499999999999992,,-0.5976143046672051,,-0.5976143046672051,-0.5976143046672051,-0.5976143046672051,-0.5976143046672051,-0.5976143046672051,-0.5976143046672051,,-0.043069359429804555,4.134042402077412e-13,0.1542058308876453,0.38025008002746596,-0.00288592478493518,0.20365469074483278,0.38967883722781743,-0.20392155715263427,-0.5031956760947406,0.1175076190483013,-0.06342495560000574,0.2704284191327212,-0.3332232115737573
Mes,0.07127110478576469,-0.13582942924057997,-0.009995917219118813,-0.05541095632528439,0.1758569459675225,-0.09066611260102497,0.01564137266260115,-1.828184559187396e-15,1.0,-0.08315597549364631,0.04367131467411464,-5.085139114395169e-18,,-1.5701251359257064e-17,8.233470708115982e-18,-1.5701251359257064e-17,-1.5701251359257064e-17,-1.5701251359257064e-17,-1.5701251359257064e-17,-1.5701251359257064e-17,-1.5701251359257064e-17,,1.505527988220396e-16,1.2240249515484984e-16,0.05494726666056572,0.14154843495538616,-0.18186110806292308,0.008465419536219786,0.14155659822829125,0.1953094363860313,-0.07024600869475402,0.2614224274871692,0.07253580386781933,-0.0011813221657066037,-0.0765574434795979
ONI,-0.03855133467318509,0.07572001857998817,0.02686422214390575,0.07270732474520589,-0.06900551928004676,0.16704216970756178,0.08737009277710962,-0.2775895191376329,-0.08315597549364631,1.0,-0.1332610346841787,-0.14852622872518934,,0.1621212068381967,1.0958664897847428e-16,0.1621212068381967,0.1621212068381967,0.1621212068381967,0.1621212068381967,0.1621212068381967,0.1621212068381967,,0.011784887269480009,-1.975893491357484e-16,-0.051612504527523854,-0.2666707325613968,-0.01673788411917651,-0.23783307832043124,-0.2963961843847241,-0.20160640215049233,0.3289291172526014,-0.02947936404403558,-0.1016810236171298,-0.08287207166646829,0.012610550120291619
